code,province_code,regency,type
3215,32,Karawang,Kabupaten
2102,21,Karimun,Kabupaten
1206,12,Karo,Kabupaten
6206,62,Katingan,Kabupaten
1704,17,Kaur,Kabupaten
6111,61,Kayong Utara,Kabupaten
3305,33,Kebumen,Kabupaten
3506,35,Kediri,Kabupaten
3571,35,Kediri,Kota
9111,91,Keerom,Kabupaten
3324,33,Kendal,Kabupaten
7471,74,Kendari,Kota
1708,17,Kepahiang,Kabupaten
2105,21,Kepulauan Anambas,Kabupaten
8107,81,Kepulauan Aru,Kabupaten
1309,13,Kepulauan Mentawai,Kabupaten
1410,14,Kepulauan Meranti,Kabupaten
7103,71,Kepulauan Sangihe,Kabupaten
7301,73,Kepulauan Selayar,Kabupaten
3101,31,Kepulauan Seribu,Kabupaten
7109,71,Kepulauan Siau Tagulandang Biaro (Sitaro),Kabupaten
8205,82,Kepulauan Sula,Kabupaten
7104,71,Kepulauan Talaud,Kabupaten
8103,81,Kepulauan Tanimbar (Maluku Tenggara Barat),Kabupaten
9105,91,Kepulauan Yapen,Kabupaten
1501,15,Kerinci,Kabupaten
6104,61,Ketapang,Kabupaten
3310,33,Klaten,Kabupaten
5105,51,Klungkung,Kabupaten
7401,74,Kolaka,Kabupaten
7411,74,Kolaka Timur,Kabupaten
7408,74,Kolaka Utara,Kabupaten
7402,74,Konawe,Kabupaten
7412,74,Konawe Kepulauan,Kabupaten
7405,74,Konawe Selatan,Kabupaten
7409,74,Konawe Utara,Kabupaten
6302,63,Kotabaru,Kabupaten
7174,71,Kotamobagu,Kota
6201,62,Kotawaringin Barat,Kabupaten
6202,62,Kotawaringin Timur,Kabupaten
1409,14,Kuantan Singingi,Kabupaten
6112,61,Kubu Raya,Kabupaten
3319,33,Kudus,Kabupaten
3401,34,Kulon Progo,Kabupaten
3208,32,Kuningan,Kabupaten
5301,53,Kupang,Kabupaten
5371,53,Kupang,Kota
6407,64,Kutai Barat,Kabupaten
6402,64,Kutai Kartanegara,Kabupaten
6408,64,Kutai Timur,Kabupaten
1210,12,Labuhanbatu,Kabupaten
1222,12,Labuhanbatu Selatan,Kabupaten
1223,12,Labuhanbatu Utara,Kabupaten
1604,16,Lahat,Kabupaten
6209,62,Lamandau,Kabupaten
3524,35,Lamongan,Kabupaten
1804,18,Lampung Barat,Kabupaten
1801,18,Lampung Selatan,Kabupaten
1802,18,Lampung Tengah,Kabupaten
1807,18,Lampung Timur,Kabupaten
1803,18,Lampung Utara,Kabupaten
6108,61,Landak,Kabupaten
1205,12,Langkat,Kabupaten
1174,11,Langsa,Kota
9507,95,Lanny Jaya,Kabupaten
3602,36,Lebak,Kabupaten
1707,17,Lebong,Kabupaten
5313,53,Lembata,Kabupaten
1173,11,Lhokseumawe,Kota
1307,13,Lima Puluh Kota,Kabupaten
2104,21,Lingga,Kabupaten
5201,52,Lombok Barat,Kabupaten
5202,52,Lombok Tengah,Kabupaten
5203,52,Lombok Timur,Kabupaten
5208,52,Lombok Utara,Kabupaten
1673,16,Lubuk Linggau,Kota
3508,35,Lumajang,Kabupaten
7317,73,Luwu,Kabupaten
7324,73,Luwu Timur,Kabupaten
7322,73,Luwu Utara,Kabupaten
3519,35,Madiun,Kabupaten
3577,35,Madiun,Kota
3308,33,Magelang,Kabupaten
3371,33,Magelang,Kota
3520,35,Magetan,Kabupaten
6411,64,Mahakam Ulu,Kabupaten
3210,32,Majalengka,Kabupaten
7605,76,Majene,Kabupaten
7371,73,Makassar,Kota
5321,53,Malaka,Kabupaten
3507,35,Malang,Kabupaten
3573,35,Malang,Kota
6502,65,Malinau,Kabupaten
8108,81,Maluku Barat Daya,Kabupaten
8101,81,Maluku Tengah,Kabupaten
8102,81,Maluku Tenggara,Kabupaten
7603,76,Mamasa,Kabupaten
9120,91,Mamberamo Raya,Kabupaten
9505,95,Mamberamo Tengah,Kabupaten
7602,76,Mamuju,Kabupaten
7606,76,Mamuju Tengah,Kabupaten
7171,71,Manado,Kota
1213,12,Mandailing Natal,Kabupaten
5310,53,Manggarai,Kabupaten
5315,53,Manggarai Barat,Kabupaten
5319,53,Manggarai Timur,Kabupaten
9202,92,Manokwari,Kabupaten
9211,92,Manokwari Selatan,Kabupaten
9303,93,Mappi,Kabupaten
7309,73,Maros,Kabupaten
5271,52,Mataram,Kota
9210,92,Maybrat,Kabupaten
1271,12,Medan,Kota
6110,61,Melawi,Kabupaten
6102,61,Mempawah,Kabupaten
1502,15,Merangin,Kabupaten
9301,93,Merauke,Kabupaten
1811,18,Mesuji,Kabupaten
1872,18,Metro,Kota
9404,94,Mimika,Kabupaten
7102,71,Minahasa,Kabupaten
7105,71,Minahasa Selatan,Kabupaten
7107,71,Minahasa Tenggara,Kabupaten
7106,71,Minahasa Utara,Kabupaten
3516,35,Mojokerto,Kabupaten
3576,35,Mojokerto,Kota
7206,72,Morowali,Kabupaten
7212,72,Morowali Utara,Kabupaten
1603,16,Muara Enim,Kabupaten
1505,15,Muaro Jambi,Kabupaten
1706,17,Muko Muko,Kabupaten
7403,74,Muna,Kabupaten
7413,74,Muna Barat,Kabupaten
6212,62,Murung Raya,Kabupaten
1606,16,Musi Banyuasin,Kabupaten
1605,16,Musi Rawas,Kabupaten
1613,16,Musi Rawas Utara,Kabupaten
9401,94,Nabire,Kabupaten
1115,11,Nagan Raya,Kabupaten
5316,53,Nagekeo,Kabupaten
2103,21,Natuna,Kabupaten
9508,95,Nduga,Kabupaten
5309,53,Ngada,Kabupaten
3518,35,Nganjuk,Kabupaten
3521,35,Ngawi,Kabupaten
1204,12,Nias,Kabupaten
1225,12,Nias Barat,Kabupaten
1214,12,Nias Selatan,Kabupaten
1224,12,Nias Utara,Kabupaten
6503,65,Nunukan,Kabupaten
1610,16,Ogan Ilir,Kabupaten
1602,16,Ogan Komering Ilir,Kabupaten
1601,16,Ogan Komering Ulu,Kabupaten
1609,16,Ogan Komering Ulu Selatan,Kabupaten
1608,16,Ogan Komering Ulu Timur,Kabupaten
3501,35,Pacitan,Kabupaten
1371,13,Padang,Kota
1221,12,Padang Lawas,Kabupaten
1220,12,Padang Lawas Utara,Kabupaten
1374,13,Padang Panjang,Kota
1305,13,Padang Pariaman,Kabupaten
1277,12,Padangsidimpuan,Kota
1672,16,Pagar Alam,Kota
7504,75,Pahuwato,Kabupaten
1215,12,Pakpak Bharat,Kabupaten
6271,62,Palangkaraya,Kota
1671,16,Palembang,Kota
7373,73,Palopo,Kota
7271,72,Palu,Kota
3528,35,Pamekasan,Kabupaten
3601,36,Pandeglang,Kabupaten
3218,32,Pangandaran,Kabupaten
7310,73,Pangkajene Kepulauan,Kabupaten
1971,19,Pangkal Pinang,Kota
9403,94,Paniai,Kabupaten
7372,73,Pare Pare,Kota
1377,13,Pariaman,Kota
7208,72,Parigi Moutong,Kabupaten
1308,13,Pasaman,Kabupaten
1312,13,Pasaman Barat,Kabupaten
7601,76,Pasangkayu (Mamuju Utara),Kabupaten
6401,64,Paser,Kabupaten
3514,35,Pasuruan,Kabupaten
3575,35,Pasuruan,Kota
3318,33,Pati,Kabupaten
1376,13,Payakumbuh,Kota
9212,92,Pegunungan Arfak,Kabupaten
9502,95,Pegunungan Bintang,Kabupaten
3326,33,Pekalongan,Kabupaten
3375,33,Pekalongan,Kota
1471,14,Pekanbaru,Kota
1405,14,Pelalawan,Kabupaten
3327,33,Pemalang,Kabupaten
1272,12,Pematangsiantar,Kota
6409,64,Penajam Paser Utara,Kabupaten
1612,16,Penukal Abab Lematang Ilir,Kabupaten
1809,18,Pesawaran,Kabupaten
1813,18,Pesisir Barat,Kabupaten
1301,13,Pesisir Selatan,Kabupaten
1107,11,Pidie,Kabupaten
1118,11,Pidie Jaya,Kabupaten
7315,73,Pinrang,Kabupaten
7604,76,Polewali Mandar,Kabupaten
3502,35,Ponorogo,Kabupaten
6171,61,Pontianak,Kota
7202,72,Poso,Kabupaten
1674,16,Prabumulih,Kota
1810,18,Pringsewu,Kabupaten
3513,35,Probolinggo,Kabupaten
3574,35,Probolinggo,Kota
6211,62,Pulang Pisau,Kabupaten
8207,82,Pulau Morotai,Kabupaten
8208,82,Pulau Taliabu,Kabupaten
9405,94,Puncak,Kabupaten
9402,94,Puncak Jaya,Kabupaten
3303,33,Purbalingga,Kabupaten
3214,32,Purwakarta,Kabupaten
3306,33,Purworejo,Kabupaten
9205,92,Raja Ampat,Kabupaten
1702,17,Rejang Lebong,Kabupaten
3317,33,Rembang,Kabupaten
1407,14,Rokan Hilir,Kabupaten
1406,14,Rokan Hulu,Kabupaten
5314,53,Rote Ndao,Kabupaten
1172,11,Sabang,Kota
5320,53,Sabu Raijua,Kabupaten
3373,33,Salatiga,Kota
6472,64,Samarinda,Kota
6101,61,Sambas,Kabupaten
1217,12,Samosir,Kabupaten
3527,35,Sampang,Kabupaten
6103,61,Sanggau,Kabupaten
9110,91,Sarmi,Kabupaten
1503,15,Sarolangun,Kabupaten
1373,13,Sawahlunto,Kota
6109,61,Sekadau,Kabupaten
1705,17,Seluma,Kabupaten
3322,33,Semarang,Kabupaten
3374,33,Semarang,Kota
8106,81,Seram Bagian Barat,Kabupaten
8105,81,Seram Bagian Timur,Kabupaten
3673,36,Serang,Kota
3604,36,Serang,Kabupaten
1218,12,Serdang Bedagai,Kabupaten
6207,62,Seruyan,Kabupaten
1408,14,Siak,Kabupaten
1273,12,Sibolga,Kota
7314,73,Sidenreng Rappang,Kabupaten
3515,35,Sidoarjo,Kabupaten
7210,72,Sigi,Kabupaten
1303,13,Sijunjung,Kabupaten
5307,53,Sikka,Kabupaten
1208,12,Simalungun,Kabupaten
1109,11,Simeulue,Kabupaten
6172,61,Singkawang,Kota
7307,73,Sinjai,Kabupaten
6105,61,Sintang,Kabupaten
3512,35,Situbondo,Kabupaten
3404,34,Sleman,Kabupaten
1302,13,Solok,Kabupaten
1372,13,Solok,Kota
1311,13,Solok Selatan,Kabupaten
7312,73,Soppeng,Kabupaten
9201,92,Sorong,Kabupaten
9271,92,Sorong,Kota
9204,92,Sorong Selatan,Kabupaten
3314,33,Sragen,Kabupaten
3213,32,Subang,Kabupaten
1175,11,Subulussalam,Kota
3272,32,Sukabumi,Kota
3202,32,Sukabumi,Kabupaten
6208,62,Sukamara,Kabupaten
3311,33,Sukoharjo,Kabupaten
5312,53,Sumba Barat,Kabupaten
5318,53,Sumba Barat Daya,Kabupaten
5317,53,Sumba Tengah,Kabupaten
5311,53,Sumba Timur,Kabupaten
5204,52,Sumbawa,Kabupaten
5207,52,Sumbawa Barat,Kabupaten
3211,32,Sumedang,Kabupaten
3529,35,Sumenep,Kabupaten
1572,15,Sungai Penuh,Kota
9119,91,Supiori,Kabupaten
3578,35,Surabaya,Kota
3372,33,Surakarta,Kota
6309,63,Tabalong,Kabupaten
5102,51,Tabanan,Kabupaten
7305,73,Takalar,Kabupaten
9209,92,Tambrauw,Kabupaten
6504,65,Tana Tidung,Kabupaten
7318,73,Tana Toraja,Kabupaten
6310,63,Tanah Bumbu,Kabupaten
1304,13,Tanah Datar,Kabupaten
6301,63,Tanah Laut,Kabupaten
3671,36,Tangerang,Kota
3603,36,Tangerang,Kabupaten
3674,36,Tangerang Selatan,Kota
1806,18,Tanggamus,Kabupaten
1274,12,Tanjung Balai,Kota
1506,15,Tanjung Jabung Barat,Kabupaten
1507,15,Tanjung Jabung Timur,Kabupaten
2172,21,Tanjung Pinang,Kota
1203,12,Tapanuli Selatan,Kabupaten
1201,12,Tapanuli Tengah,Kabupaten
1202,12,Tapanuli Utara,Kabupaten
6305,63,Tapin,Kabupaten
6571,65,Tarakan,Kota
3278,32,Tasikmalaya,Kota
3206,32,Tasikmalaya,Kabupaten
1276,12,Tebing Tinggi,Kota
1509,15,Tebo,Kabupaten
3328,33,Tegal,Kabupaten
3376,33,Tegal,Kota
9206,92,Teluk Bintuni,Kabupaten
9207,92,Teluk Wondama,Kabupaten
3323,33,Temanggung,Kabupaten
8271,82,Ternate,Kota
8272,82,Tidore Kepulauan,Kota
5302,53,Timor Tengah Selatan,Kabupaten
5303,53,Timor Tengah Utara,Kabupaten
1212,12,Toba,Kabupaten
7209,72,Tojo Una Una,Kabupaten
7204,72,Toli Toli,Kabupaten
9504,95,Tolikara,Kabupaten
7173,71,Tomohon,Kota
7326,73,Toraja Utara,Kabupaten
3503,35,Trenggalek,Kabupaten
8172,81,Tual,Kota
3523,35,Tuban,Kabupaten
1805,18,Tulang Bawang,Kabupaten
1812,18,Tulang Bawang Barat,Kabupaten
3504,35,Tulungagung,Kabupaten
7313,73,Wajo,Kabupaten
7407,74,Wakatobi,Kabupaten
9115,91,Waropen,Kabupaten
1808,18,Way Kanan,Kabupaten
3312,33,Wonogiri,Kabupaten
3307,33,Wonosobo,Kabupaten
9503,95,Yahukimo,Kabupaten
9506,95,Yalimo,Kabupaten
3471,34,Yogyakarta,Kota
